Species	Term Accession	Term	Object	RGD ID	Symbol	Name	Type	Qualifiers	Evidence	Chr	Start	Stop	Reference(s)	Source(s)	Original Reference(s)	Notes
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1593265	Atm	ATM serine/threonine kinase	protein-coding		ISO	 8	53,828,741	53,932,773		RGD	 PMID:16498454	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	10199	Atm	ataxia telangiectasia mutated	protein-coding		ISS	 9	53,348,422	53,448,125		RGD	 PMID:16498454	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18924292	Blm	BLM RecQ like helicase	protein-coding		ISO	NW_004624768	17,422,267	17,522,894	RGD	RGD	PMID:20690856 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18607507	BLM	BLM RecQ like helicase	protein-coding		ISO	29	9,046,485	9,152,320	RGD	RGD	PMID:20690856 	
Pig	PW:0000202	homologous recombination pathway of double-strand break repair	gene	14135943	BLM	BLM RecQ like helicase	protein-coding		ISO	 7	53,317,515	53,412,649	RGD	RGD	PMID:20690856 	
Squirrel	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12650025	Blm	BLM RecQ like helicase	protein-coding		ISO	NW_004936483	16,194,092	16,295,803	RGD	RGD	PMID:20690856 	
Dog	PW:0000202	homologous recombination pathway of double-strand break repair	gene	12183987	BLM	BLM RecQ like helicase	protein-coding		ISO	 3	53,408,120	53,506,728	RGD	RGD	PMID:20690856 	
Bonobo	PW:0000202	homologous recombination pathway of double-strand break repair	gene	11781639	BLM	BLM RecQ like helicase	protein-coding		ISO	15	69,407,248	69,508,070	RGD	RGD	PMID:20690856 	
Chinchilla	PW:0000202	homologous recombination pathway of double-strand break repair	gene	9044566	Blm	BLM RecQ like helicase	protein-coding		ISO	NW_004955416	14,814,753	14,899,865	RGD	RGD	PMID:20690856 	
Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1308810	Blm	BLM RecQ like helicase	protein-coding		ISO	 1	134,409,832	134,496,073		RGD	 PMID:20690856	
Mouse	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1318796	Blm	Bloom syndrome, RecQ like helicase	protein-coding		ISO	 7	80,104,741	80,184,896	KEGG	KEGG,RGD	 PMID:20690856	
Human	PW:0000202	homologous recombination pathway of double-strand break repair	gene	1318795	BLM	BLM RecQ like helicase	protein-coding		TAS	15	90,717,346	90,816,166	KEGG	KEGG,RGD	 PMID:20690856	
Naked Mole-Rat	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18902017	Brca1	BRCA1 DNA repair associated	protein-coding		ISO	NW_004624795	1,186,043	1,238,986	RGD	RGD	PMID:16498454 PMID:24326623 	
Green Monkey	PW:0000202	homologous recombination pathway of double-strand break repair	gene	18556926	BRCA1	BRCA1 DNA repair associated	protein-coding		ISO	16	63,162,827	63,243,928	RGD	RGD	PMID:16498454 PMID:24326623 	
